protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen
OSBP	pos	3	607.418573999482	607.4269	70000	III.5	unknown	6.59	6.5485947	6.42	6.9	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	pos	4	791.265753971644	791.2766	65000	III.5	unknown	13.45	13.478606	13.27	13.68	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	pos	5	1063.8086181754	1063.8232	30000	IV	ambiguous	12.15	19.750331	11.29	12.71	PI			50.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	ambiguous	PI	PI(50:0)	50:0	NA	NA	A
OSBP	pos	5	1063.8086181754	1063.8232	30000	IV	ambiguous	12.15	19.750331	11.29	12.71	PS			55.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	ambiguous	PS	PS(55:6)	55:6	NA	NA	A
OSBP	pos	6	873.301329494597	873.3133	17000	III.6	unknown	22.92	16.64339	22.47	23.2	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	0	568.841746981529	568.8419	430000	III.6	unknown	23.57	6.5030619	18.59	23.99	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	1	511.082662518727	511.0828	150000	III.5	unknown	1.44	1.4905002	0.99	1.56	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	2	1162.46998729549	1162.4703	99000	III.5	unknown	3.78	3.7701696	3.6	3.83	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	3	519.115060358011	519.1152	72000	III.5	unknown	1.44	1.3741385	1.09	1.56	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	4	882.270462669182	882.2707	50000	III.5	unknown	1.45	1.4489755	1.12	1.52	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	5	872.242265366767	872.2425	44000	III.5	unknown	1.45	1.4644149	1.0	1.52	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
OSBP	neg	6	837.273074773482	837.2733	40000	III.2	unknown	1.45	1.4528338	0.99	1.52	PI			23.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	NA	PI	PI(23:3)	23:3	NA	NA	A
OSBP	neg	7	607.885836478666	607.886	30000	III.6	unknown	16.94	NaN	15.74	20.41	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNA	pos	0	746.56924225535	746.5789	130000	I	PC	9.68	9.7190294	9.14	10.54	PC			33.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(33:1)	33:1	NA	NA	A
PITPNA	pos	1	704.522986172754	704.5321	120000	I	PC	7.91	7.8971235	7.58	8.38	PC			30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(30:1)	30:1	NA	NA	A
PITPNA	pos	2	548.358506342598	548.3656	26000	III.6	unknown	20.99	12.853832	20.76	21.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNA	pos	3	774.598679661857	774.6087	22000	IV	ambiguous	10.79	4.9477072	10.31	11.12	PC			35.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(35:1)	35:1	NA	NA	A
PITPNA	pos	3	774.598679661857	774.6087	22000	IV	ambiguous	10.79	4.9477072	10.31	11.12	PE			38.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(38:1)	38:1	NA	NA	A
PITPNA	pos	3	774.598679661857	774.6087	22000	IV	ambiguous	10.79	4.9477072	10.31	11.12	PA			40.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(40:2)	40:2	NA	NA	A
PITPNA	neg	0	776.545137448465	776.545	45000	IV	ambiguous	9.06	NaN	8.74	9.4	PS			35.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	ambiguous	PS	PS(35:0)	35:0	NA	NA	A
PITPNA	neg	0	776.545137448465	776.545	45000	IV	ambiguous	9.06	NaN	8.74	9.4	PE			35.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(35:1)	35:1	NA	NA	A
PITPNA	neg	0	776.545137448465	776.545	45000	IV	ambiguous	9.06	NaN	8.74	9.4	PC			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(32:1)	32:1	NA	NA	A
PITPNB	pos	0	534.24772493233	534.2543	600000	III.2	unknown	1.02	1.0269689	0.84	1.13	PS			16.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	PS	PS(16:0)	16:0	NA	NA	A
PITPNB	pos	1	732.554184344698	732.5632	380000	I	PC	9.14	9.168699	7.14	10.41	PC			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(32:1)	32:1	NA	NA	A
PITPNB	pos	2	658.514295564823	658.5224	350000	III.2	unknown	6.0	5.932501	5.32	6.31	LysoPE	Lyso	O	30.0	0.0	O	30.0	0.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	LysoPE-O	LysoPE-O(30:0)	30:0	LysoPE-O(30:0)	30:0	A
PITPNB	pos	3	706.328107113002	706.3368	340000	III.5	unknown	1.06	1.0764894	0.87	1.22	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNB	pos	4	760.584439372103	760.5938	340000	I	PC	10.4	10.456823	10.07	10.9	PC			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(34:1)	34:1	NA	NA	A
PITPNB	pos	5	758.569464170708	758.5788	210000	I	PC	9.4	9.3913994	9.0	10.73	PC			34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(34:2)	34:2	NA	NA	A
PITPNB	pos	6	544.461399231093	544.4681	230000	II	Cer	1.3	3.2451116	1.0	4.67	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(33:2)	33:2	NA	NA	A
PITPNB	pos	7	415.315488649376	415.3206	170000	III.5	unknown	1.44	1.3996433	0.84	1.54	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNB	pos	8	516.430944206149	516.4373	140000	III.2	unknown	3.75	3.7594851	3.65	3.88	Cer		d	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(31:2)	31:2	NA	NA	A
PITPNB	pos	9	562.285679864972	562.2926	130000	III.2	unknown	1.02	1.0304897	0.88	1.18	PS			20.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	PS	PS(20:3)	20:3	NA	NA	A
PITPNB	pos	10	544.461699227401	544.4684	130000	III.2	unknown	3.75	3.76331	3.65	3.88	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(33:2)	33:2	NA	NA	A
PITPNB	pos	11	706.539404512533	706.5481	33000	I	PC	8.88	8.9318799	8.65	9.14	PC			30.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(30:0)	30:0	NA	NA	A
PITPNB	pos	12	544.46189922494	544.4686	26000	II	Cer	4.56	3.76331	4.39	4.67	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(33:2)	33:2	NA	NA	A
PITPNB	pos	13	624.437514952924	624.4452	24000	II	HexCer	2.59	6.9018496	2.06	3.09	HexCer		d	27.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	HexCer	HexCer	HexCer(27:1)	27:1	NA	NA	A
PITPNB	pos	14	397.306310291062	397.3112	7200	III.6	unknown	7.71	1.002742	7.44	7.85	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNB	neg	0	515.370257077796	515.3695	34000	III.5	unknown	3.45	3.4430143	1.38	3.63	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PITPNB	neg	1	415.318110101408	415.3175	18000	III.5	unknown	1.7	1.7060516	1.02	1.84	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PMP2	pos	0	626.155714074902	626.1518	220000	III.6	unknown	15.56	8.5947694	15.15	20.59	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PMP2	pos	1	961.809812235554	961.8038	82000	III.2	unknown	12.34	12.367047	12.18	12.52	Cer		d	56.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(56:5)	56:5	NA	NA	A
PMP2	pos	1	961.809812235554	961.8038	82000	III.2	unknown	12.34	12.367047	12.18	12.52	SM		d	53.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	NA	NA	SM(53:5)	53:5	NA	NA	A
PMP2	pos	1	961.809812235554	961.8038	82000	III.2	unknown	12.34	12.367047	12.18	12.52	HexCer		d	52.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	NA	HexCer(52:5)	52:5	NA	NA	A
PMP2	pos	1	961.809812235554	961.8038	82000	III.2	unknown	12.34	12.367047	12.18	12.52	TAG			58.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	NA	NA	TAG(58:4)	58:4	NA	NA	A
PMP2	pos	2	422.399140400522	422.3965	57000	III.5	unknown	4.91	4.9674554	4.74	5.03	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PMP2	neg	0	598.794092058697	598.7877	33000	III.6	unknown	4.1	NaN	1.58	5.85	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTGDS	pos	0	760.581996806374	760.5782	63000	IV	ambiguous	10.77	12.317434	10.48	11.15	PC			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(34:1)	34:1	NA	NA	A
PTGDS	pos	0	760.581996806374	760.5782	63000	IV	ambiguous	10.77	12.317434	10.48	11.15	PE			37.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(37:1)	37:1	NA	NA	A
PTGDS	pos	0	760.581996806374	760.5782	63000	IV	ambiguous	10.77	12.317434	10.48	11.15	HexCer		d	39.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	ambiguous	HexCer	HexCer(39:6)	39:6	NA	NA	A
PTGDS	pos	0	760.581996806374	760.5782	63000	IV	ambiguous	10.77	12.317434	10.48	11.15	PA			39.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(39:2)	39:2	NA	NA	A
PTGDS	pos	0	760.581996806374	760.5782	63000	IV	ambiguous	10.77	12.317434	10.48	11.15	DAG			46.0	11.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(46:11)	46:11	NA	NA	A
PTPN9	pos	0	360.29094743978	360.2885	62000	III.6	unknown	1.11	1.3452417	0.98	1.21	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTPN9	pos	1	398.36270605948	398.36	45000	III.6	Cer	3.55	4.790133	1.93	3.85	Cer		d	24.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(24:1)	24:1	NA	NA	A
PTPN9	pos	2	708.51191288873	708.5071	9600	III.6	PS-O	3.72	10.351372	3.42	3.85	PS		O	31.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	PS-O	PS-O	PS-O(31:0)	31:0	NA	NA	A
PTPN9	neg	0	787.848268817031	787.8392	2600000	III.6	unknown	5.14	15.124675	6.56	10.14	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTPN9	neg	1	611.861743059452	611.8547	410000	III.6	unknown	3.71	NaN	3.48	8.73	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTPN9	neg	2	659.863195597812	659.8556	350000	III.6	unknown	6.35	NaN	6.27	11.35	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTPN9	neg	3	492.354267424735	492.3486	80000	III.2	unknown	3.09	3.1361924	1.78	3.26	LysoPE	Lyso	O	20.0	1.0	O	20.0	1.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	NA	LysoPE-O(20:1)	20:1	LysoPE-O(20:1)	20:1	A
PTPN9	neg	3	492.354267424735	492.3486	80000	III.2	unknown	3.09	3.1361924	1.78	3.26	LysoPC	Lyso	O	17.0	1.0	O	17.0	1.0		NaN	NaN		NaN	NaN	LysoPC-O	NA	NA	LysoPC-O(17:1)	17:1	LysoPC-O(17:1)	17:1	A
PTPN9	neg	4	758.615032317119	758.6063	65000	III.2	unknown	10.33	10.336633	10.19	10.51	PE		O	38.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(38:1)	38:1	NA	NA	A
PTPN9	neg	4	758.615032317119	758.6063	65000	III.2	unknown	10.33	10.336633	10.19	10.51	PC		O	35.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(35:1)	35:1	NA	NA	A
PTPN9	neg	4	758.615032317119	758.6063	65000	III.2	unknown	10.33	10.336633	10.19	10.51	HexCerOH		t	37.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(37:0)	37:0	NA	NA	A
PTPN9	neg	5	520.384790080367	520.3788	63000	III.2	unknown	4.53	4.5784031	3.81	4.65	LysoPE	Lyso	O	22.0	1.0	O	22.0	1.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	LysoPE-O	LysoPE-O(22:1)	22:1	LysoPE-O(22:1)	22:1	A
PTPN9	neg	6	730.583809653429	730.5754	46000	III.2	unknown	9.09	9.066886	8.9	9.26	HexCerOH		t	35.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(35:0)	35:0	NA	NA	A
PTPN9	neg	6	730.583809653429	730.5754	46000	III.2	unknown	9.09	9.066886	8.9	9.26	PE		O	36.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(36:1)	36:1	NA	NA	A
PTPN9	neg	6	730.583809653429	730.5754	46000	III.2	unknown	9.09	9.066886	8.9	9.26	PC		O	33.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(33:1)	33:1	NA	NA	A
PTPN9	neg	7	518.369866886853	518.3639	45000	III.2	unknown	3.47	3.4084612	2.13	3.77	HexCer		d	21.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	NA	HexCer(21:0)	21:0	NA	NA	A
PTPN9	neg	7	518.369866886853	518.3639	45000	III.2	unknown	3.47	3.4084612	2.13	3.77	LysoPE	Lyso	O	22.0	2.0	O	22.0	2.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	NA	LysoPE-O(22:2)	22:2	LysoPE-O(22:2)	22:2	A
PTPN9	neg	8	756.599509116699	756.5908	40000	III.2	unknown	9.26	9.236339	9.13	9.55	HexCerOH		t	37.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(37:1)	37:1	NA	NA	A
PTPN9	neg	8	756.599509116699	756.5908	40000	III.2	unknown	9.26	9.236339	9.13	9.55	PE		O	38.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(38:2)	38:2	NA	NA	A
PTPN9	neg	8	756.599509116699	756.5908	40000	III.2	unknown	9.26	9.236339	9.13	9.55	PC		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(35:2)	35:2	NA	NA	A
PTPN9	neg	9	784.63083178154	784.6218	23000	III.2	unknown	10.55	10.541836	10.38	10.76	PC		O	37.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(37:2)	37:2	NA	NA	A
PTPN9	neg	9	784.63083178154	784.6218	23000	III.2	unknown	10.55	10.541836	10.38	10.76	PE		O	40.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(40:2)	40:2	NA	NA	A
PTPN9	neg	9	784.63083178154	784.6218	23000	III.2	unknown	10.55	10.541836	10.38	10.76	HexCerOH		t	39.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(39:1)	39:1	NA	NA	A
PTPN9	neg	10	338.142592314576	338.1387	20000	III.5	unknown	1.38	1.3095343	0.98	2.43	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
PTPN9	neg	11	383.258311635643	383.2539	7900	III.5	unknown	5.52	5.5443921	5.15	5.57	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP1	pos	0	398.326103065502	398.3236	76000000	III.2	unknown	3.2	3.2052404	1.04	4.85	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	NA	NA	NA	NA	NA	A
RBP1	pos	0	398.326103065502	398.3236	76000000	III.2	unknown	3.2	3.2052404	1.04	4.85	MAG			20.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(20:3)	20:3	NA	NA	A
RBP1	pos	1	370.294626916813	370.2923	71000000	III.2	unknown	3.2	3.2044608	0.86	5.78	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	NA	NA	NA	NA	NA	A
RBP1	pos	1	370.294626916813	370.2923	71000000	III.2	unknown	3.2	3.2044608	0.86	5.78	MAG			18.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(18:3)	18:3	NA	NA	A
RBP1	pos	2	412.341491137648	412.3389	14000000	III.5	unknown	3.75	3.7524983	1.63	4.15	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP1	pos	3	384.310414991472	384.308	13000000	III.2	unknown	3.75	3.7297781	1.04	4.17	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	P40	NA	NA	NA	NA	A
RBP1	pos	4	326.268550258686	326.2665	7200000	III.2	unknown	3.24	3.2418316	1.33	3.62	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	P40	NA	NA	NA	NA	A
RBP1	pos	5	368.315114477635	368.3128	1700000	III.5	unknown	3.75	3.7597906	1.64	4.15	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP1	pos	6	353.268019922287	353.2658	1400000	III.2	unknown	3.23	3.271394	1.41	3.82	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	NA	NA	NA	NA	NA	A
RBP1	pos	6	353.268019922287	353.2658	1400000	III.2	unknown	3.23	3.271394	1.41	3.82	MAG			18.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(18:3)	18:3	NA	NA	A
RBP1	pos	6	353.268019922287	353.2658	1400000	III.2	unknown	3.23	3.271394	1.41	3.82	MAG			16.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(16:0)	16:0	NA	NA	A
RBP1	pos	7	426.357379212935	426.3547	770000	II	MAG	3.19	5.1713239	1.39	5.78	MAG			22.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	MAG	MAG	MAG(22:3)	22:3	NA	NA	A
RBP1	pos	8	340.284238332716	340.2821	420000	III.2	unknown	3.77	3.6829116	3.2	4.35	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	P40	NA	NA	NA	NA	A
RBP1	pos	9	269.226191806758	269.2245	290000	I	VA	4.79	4.8012187	4.11	4.92	VA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	VA	VA	VA	NA	NA	NA	NA	A
RBP1	pos	10	389.265446128692	389.263	260000	III.2	unknown	3.75	NaN	2.65	4.15	P40			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	P40	NA	P40	NA	NA	NA	NA	A
RBP1	pos	11	438.357554621563	438.3548	180000	II	Cer	3.2	NaN	1.91	3.56	Cer		t	24.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(24:0)	24:0	NA	NA	A
RBP1	pos	12	492.4449945049	492.4419	4000	II	Cer	7.84	10.826458	7.75	8.01	Cer		d	29.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(29:0)	29:0	NA	NA	A
RBP2	pos	0	343.330888720462	343.3287	1600000	III.5	unknown	2.63	2.6307525	1.05	7.65	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP2	pos	1	1072.30853592334	1072.3017	510000	III.6	unknown	17.29	13.297513	15.92	19.07	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP2	pos	2	543.517564902387	543.5141	220000	III.2	unknown	6.28	6.4252007	5.56	6.81	Cer		t	32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(32:1)	32:1	NA	NA	A
RBP2	pos	3	530.459181655725	530.4558	200000	III.2	unknown	1.51	1.4987188	1.05	1.78	Cer		d	34.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(34:5)	34:5	NA	NA	A
RBP2	pos	3	530.459181655725	530.4558	200000	III.2	unknown	1.51	1.4987188	1.05	1.78	Cer		d	32.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(32:2)	32:2	NA	NA	A
RBP2	pos	4	381.310130836587	381.3077	68000	III.6	unknown	1.12	2.4396976	0.93	1.25	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP2	pos	5	482.434375499537	482.4313	65000	III.5	unknown	2.1	2.1356747	1.27	2.33	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP2	pos	6	538.15263070115	538.1492	9200	III.6	unknown	7.94	6.4836899	7.51	8.33	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP4	pos	0	330.205577156852	330.2038	2700000	III.5	unknown	2.3	2.3126955	1.02	2.45	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP4	pos	1	269.225948966259	269.2245	760000	I	VA	4.73	4.7265369	3.82	4.85	VA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	VA	VA	VA	NA	NA	NA	NA	A
RBP4	pos	2	286.228440473176	286.2269	290000	III.2	unknown	4.73	4.7209025	4.02	4.84	Cer		d	16.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(16:1)	16:1	NA	NA	A
RBP5	pos	0	640.520683293325	640.5166	45000	IV	ambiguous	8.48	9.2949934	8.42	11.27	DAG-O		O	38.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	ambiguous	DAG-O	DAG-O(38:8)	38:8	NA	NA	A
RBP5	pos	0	640.520683293325	640.5166	45000	IV	ambiguous	8.48	9.2949934	8.42	11.27	Cer		t	39.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(39:4)	39:4	NA	NA	A
RBP5	neg	0	1318.74504910875	1318.7307	160000	III.6	unknown	18.73	NaN	17.53	23.19	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP7	pos	0	398.3257393104	398.3232	3900000	III.2	unknown	2.98	3.0417443	1.04	5.42	MAG			20.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	MAG	MAG(20:3)	20:3	NA	NA	A
RBP7	pos	1	354.299558645287	354.2973	3700000	III.5	unknown	2.99	2.9867572	1.2	7.98	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP7	pos	2	370.294460612138	370.2921	3700000	III.2	unknown	2.98	2.9097098	0.8	5.78	MAG			18.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	MAG	MAG(18:3)	18:3	NA	NA	A
RBP7	pos	3	522.6041315801	522.6008	520000	III.5	unknown	10.44	10.368636	10.24	10.75	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP7	pos	4	494.569252858888	494.5661	190000	III.5	unknown	9.13	9.1549012	8.91	9.4	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RBP7	neg	0	500.207442697962	500.202	16000	III.5	unknown	5.11	5.1615748	4.77	5.24	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RLBP1	pos	0	822.483179560845	822.4786	190000	II	SHexCer	1.45	3.0517696	1.05	3.18	SHexCer		d	36.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	SHexCer	SHexCer	SHexCer	SHexCer(36:5)	36:5	NA	NA	A
RLBP1	pos	1	462.270273906554	462.2677	130000	III.5	unknown	1.57	1.5697489	0.98	1.74	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RLBP1	pos	2	378.303706383309	378.3016	130000	III.2	unknown	4.26	4.2788382	3.13	4.35	Cer		d	21.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(21:1)	21:1	NA	NA	A
RLBP1	pos	3	1397.43568087855	1397.4279	58000	III.6	unknown	20.88	16.712682	20.73	21.11	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
RLBP1	pos	4	1346.40999676912	1346.4025	14000	III.6	unknown	21.09	20.30285	21.07	21.24	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
